datetime,open,high,low,close,volume
2025-04-14 08:00:00,3.34,3.5,3.32,3.48,384090.07
2025-04-14 12:00:00,3.48,3.54,3.36,3.36,913032.47
2025-04-14 16:00:00,3.36,3.42,3.32,3.37,700561.62
2025-04-14 20:00:00,3.36,3.4,3.34,3.38,373039.38
2025-04-15 00:00:00,3.36,3.41,3.28,3.41,132959.06
2025-04-15 04:00:00,3.38,3.43,3.35,3.43,277968.68
2025-04-15 08:00:00,3.43,3.44,3.38,3.41,529361.53
2025-04-15 12:00:00,3.42,3.48,3.35,3.4,517203.67
2025-04-15 16:00:00,3.41,3.41,3.31,3.33,633422.09
2025-04-15 20:00:00,3.32,3.36,3.3,3.34,295077.66
2025-04-16 00:00:00,3.34,3.38,3.32,3.37,41903.25
2025-04-16 04:00:00,3.36,3.38,3.3,3.3,414782.06
2025-04-16 08:00:00,3.3,3.36,3.27,3.33,317325.61
2025-04-16 12:00:00,3.33,3.36,3.25,3.29,787403.62
2025-04-16 16:00:00,3.28,3.33,3.15,3.32,977373.13
2025-04-16 20:00:00,3.32,3.35,3.25,3.27,601950.38
2025-04-17 00:00:00,3.27,3.28,3.22,3.24,156757.9
2025-04-17 04:00:00,3.24,3.33,3.24,3.33,236172.04
2025-04-17 08:00:00,3.33,3.33,3.23,3.26,218832.87
2025-04-17 12:00:00,3.26,3.28,3.2,3.25,225618.57
2025-04-17 16:00:00,3.26,3.33,3.24,3.26,252899.13
2025-04-17 20:00:00,3.28,3.3,3.26,3.28,111345.96
2025-04-18 00:00:00,3.28,3.32,3.24,3.32,58959.44
2025-04-18 04:00:00,3.3,3.41,3.29,3.4,296544.2
2025-04-18 08:00:00,3.4,3.45,3.38,3.41,284436.64
2025-04-18 12:00:00,3.39,3.42,3.37,3.39,313515.57
2025-04-18 16:00:00,3.4,3.43,3.37,3.38,98469.61
2025-04-18 20:00:00,3.39,3.47,3.38,3.47,170298.98
2025-04-19 00:00:00,3.45,3.55,3.45,3.52,238158.35
2025-04-19 04:00:00,3.52,3.54,3.49,3.53,172439.42
2025-04-19 08:00:00,3.53,3.54,3.48,3.5,163378.35
2025-04-19 12:00:00,3.49,3.59,3.47,3.56,137768.11
2025-04-19 16:00:00,3.56,3.69,3.54,3.64,535762.85
2025-04-19 20:00:00,3.65,3.72,3.63,3.65,268845.5
2025-04-20 00:00:00,3.64,3.72,3.63,3.71,220639.97
2025-04-20 04:00:00,3.7,3.75,3.64,3.64,405904.92
2025-04-20 08:00:00,3.66,3.69,3.55,3.61,513452.35
