datetime,open,high,low,close,volume
2025-04-14 08:00:00,26.77,27.49,26.77,27.38,35200.93
2025-04-14 12:00:00,27.41,27.55,26.9,26.93,41859.28
2025-04-14 16:00:00,26.93,27.1,26.8,26.87,26881.2
2025-04-14 20:00:00,26.89,27.0,26.8,26.8,21177.64
2025-04-15 00:00:00,26.76,26.95,26.52,26.95,13575.14
2025-04-15 04:00:00,26.89,27.21,26.81,27.2,6397.46
2025-04-15 08:00:00,27.19,27.52,27.04,27.19,41038.45
2025-04-15 12:00:00,27.07,27.29,26.6,26.75,34464.53
2025-04-15 16:00:00,26.8,27.2,26.54,26.58,37874.29
2025-04-15 20:00:00,26.62,26.91,26.51,26.79,56494.03
2025-04-16 00:00:00,26.92,27.21,26.7,27.06,7014.92
2025-04-16 04:00:00,27.06,27.2,26.61,26.61,15077.85
2025-04-16 08:00:00,26.66,26.87,26.53,26.7,40701.24
2025-04-16 12:00:00,26.7,27.03,26.38,26.66,21589.31
2025-04-16 16:00:00,26.7,26.7,25.85,26.45,56270.79
2025-04-16 20:00:00,26.5,26.51,26.1,26.18,16904.97
2025-04-17 00:00:00,26.18,26.21,25.91,26.05,7172.94
2025-04-17 04:00:00,26.05,26.5,26.0,26.46,12068.47
2025-04-17 08:00:00,26.38,26.54,26.3,26.42,14446.43
2025-04-17 12:00:00,26.45,26.57,26.16,26.51,22050.78
2025-04-17 16:00:00,26.51,27.16,26.51,26.68,44211.22
2025-04-17 20:00:00,26.74,27.0,26.66,26.86,25377.49
2025-04-18 00:00:00,26.85,26.86,26.65,26.84,3021.53
2025-04-18 04:00:00,26.86,27.44,26.86,27.32,25734.46
2025-04-18 08:00:00,27.32,27.41,27.0,27.11,29790.14
2025-04-18 12:00:00,27.1,27.59,26.97,27.44,22285.24
2025-04-18 16:00:00,27.4,27.69,27.38,27.43,25947.26
2025-04-18 20:00:00,27.43,27.48,27.35,27.37,2573.82
2025-04-19 00:00:00,27.43,27.98,27.43,27.84,3961.86
2025-04-19 04:00:00,27.81,28.0,27.71,27.96,6482.33
2025-04-19 08:00:00,27.93,28.1,27.81,27.91,28002.33
2025-04-19 12:00:00,27.9,28.11,27.73,28.11,18061.47
2025-04-19 16:00:00,28.1,28.35,28.0,28.19,47845.51
2025-04-19 20:00:00,28.2,28.31,27.71,27.71,52145.03
2025-04-20 00:00:00,27.82,28.11,27.78,28.08,2815.08
2025-04-20 04:00:00,28.29,28.85,28.26,28.38,9614.68
2025-04-20 08:00:00,28.35,28.35,27.61,27.83,13052.81
2025-04-20 12:00:00,27.94,28.14,27.77,28.04,29674.24
2025-04-20 16:00:00,28.06,29.07,27.67,28.44,98071.9
2025-04-20 20:00:00,28.48,28.67,28.37,28.48,26926.75
2025-04-21 00:00:00,28.48,28.73,28.23,28.3,5433.36
2025-04-21 04:00:00,28.31,28.8,28.23,28.75,20616.27
2025-04-21 08:00:00,28.79,28.93,28.33,28.39,44257.57
2025-04-21 12:00:00,28.41,28.56,28.16,28.32,24172.2
2025-04-21 16:00:00,28.33,28.56,28.0,28.21,26947.11
2025-04-21 20:00:00,28.21,28.21,28.05,28.05,5887.77
2025-04-22 00:00:00,28.03,28.05,27.58,28.0,5092.73
2025-04-22 04:00:00,28.0,28.55,27.87,28.38,15564.36
2025-04-22 08:00:00,28.49,29.12,28.38,28.61,57173.51
2025-04-22 12:00:00,28.61,29.0,28.53,28.71,38483.24
2025-04-22 16:00:00,28.75,28.8,28.61,28.75,7768.59
2025-04-22 20:00:00,28.74,29.23,28.69,29.16,19799.57
2025-04-23 00:00:00,29.16,29.5,29.06,29.5,4397.75
2025-04-23 04:00:00,29.51,29.8,29.27,29.78,21059.29
2025-04-23 08:00:00,29.78,30.58,29.48,30.35,84147.98
2025-04-23 12:00:00,30.36,30.6,29.47,29.82,48428.15
2025-04-23 16:00:00,29.85,30.18,29.76,29.95,23857.19
2025-04-23 20:00:00,29.99,31.01,29.99,30.8,55267.75
2025-04-24 00:00:00,30.8,30.8,30.05,30.3,6694.68
2025-04-24 04:00:00,30.3,31.21,30.16,30.39,85405.51
2025-04-24 08:00:00,30.47,30.82,29.93,30.25,110282.71
