datetime,open,high,low,close,volume
2025-09-24 09:15:00,81.3,81.3,81.3,81.3,0.0
2025-09-24 09:20:00,81.33,81.33,81.29,81.29,2596.04
2025-09-24 09:25:00,81.3,81.3,81.3,81.3,40.66
2025-09-24 09:30:00,81.4,81.45,81.4,81.45,738.71
2025-09-24 09:35:00,81.47,81.48,81.47,81.48,69.14
2025-09-24 09:40:00,81.48,81.56,81.48,81.56,855.33
2025-09-24 09:45:00,81.65,81.65,81.64,81.64,43.86
2025-09-24 09:50:00,81.62,81.62,81.6,81.6,760.64
2025-09-24 09:55:00,81.6,81.6,81.6,81.6,0.0
2025-09-24 10:00:00,81.6,81.6,81.6,81.6,0.0
2025-09-24 10:05:00,81.7,81.75,81.7,81.75,43.86
2025-09-24 10:10:00,81.75,81.75,81.75,81.75,0.0
2025-09-24 10:15:00,81.75,81.75,81.75,81.75,0.0
2025-09-24 10:20:00,81.66,82.09,81.66,82.09,116.9
2025-09-24 10:25:00,82.2,82.2,82.04,82.04,771.24
2025-09-24 10:30:00,81.99,81.99,81.99,81.99,18.41
2025-09-24 10:35:00,81.93,81.93,81.92,81.92,38.16
2025-09-24 10:40:00,82.04,82.04,82.04,82.04,13.7
2025-09-24 10:45:00,82.13,82.22,82.03,82.14,461.43
2025-09-24 10:50:00,82.11,82.11,82.11,82.11,694.85
2025-09-24 10:55:00,82.11,82.15,82.11,82.14,72.01
2025-09-24 11:00:00,82.25,82.26,82.25,82.26,43.86
2025-09-24 11:05:00,82.3,82.82,82.3,82.67,2610.57
2025-09-24 11:10:00,82.49,82.52,82.43,82.43,1791.53
2025-09-24 11:15:00,82.34,82.35,82.34,82.35,486.72
2025-09-24 11:20:00,82.28,82.37,82.19,82.19,821.31
2025-09-24 11:25:00,82.11,82.3,82.09,82.09,2123.59
2025-09-24 11:30:00,82.15,82.17,82.06,82.06,1477.42
2025-09-24 11:35:00,82.17,82.18,82.17,82.18,1156.37
2025-09-24 11:40:00,82.19,82.19,82.13,82.13,141.22
2025-09-24 11:45:00,82.16,82.16,82.16,82.16,193.03
2025-09-24 11:50:00,82.28,86.22,82.28,85.25,14898.05
2025-09-24 11:55:00,85.53,85.6,84.78,85.15,2943.21
2025-09-24 12:00:00,86.0,86.5,85.86,86.25,10088.1
2025-09-24 12:05:00,85.77,86.1,85.5,86.08,9768.66
2025-09-24 12:10:00,86.13,86.8,86.13,86.17,6505.52
2025-09-24 12:15:00,86.49,86.75,84.12,84.5,8344.24
2025-09-24 12:20:00,84.37,84.66,83.96,84.65,8650.11
2025-09-24 12:25:00,84.45,85.12,84.45,84.73,533.21
2025-09-24 12:30:00,84.98,85.16,84.98,85.1,1583.78
2025-09-24 12:35:00,84.92,84.92,84.41,84.41,4132.42
2025-09-24 12:40:00,84.42,84.52,84.26,84.32,3569.48
2025-09-24 12:45:00,84.29,84.8,84.25,84.8,856.2
2025-09-24 12:50:00,84.58,84.58,84.48,84.48,673.09
2025-09-24 12:55:00,84.62,84.74,84.62,84.64,1264.87
2025-09-24 13:00:00,84.73,84.79,84.12,84.49,2221.78
2025-09-24 13:05:00,84.42,84.42,84.25,84.38,1889.39
2025-09-24 13:10:00,84.38,84.46,84.38,84.45,897.07
2025-09-24 13:15:00,84.45,84.75,84.44,84.75,816.81
2025-09-24 13:20:00,84.79,84.8,84.09,84.09,2444.68
2025-09-24 13:25:00,84.13,84.3,84.09,84.3,206.64
