datetime,open,high,low,close,volume
2023-06-06 12:00:00,82.05,82.19,81.93,81.97,49445.0
2023-06-06 16:00:00,81.98,82.16,81.9,82.0,24510.0
2023-06-06 20:00:00,81.99,82.09,81.94,81.96,10048.0
2023-06-07 00:00:00,81.96,82.08,81.92,82.04,10112.0
2023-06-07 04:00:00,82.02,82.09,81.9,81.93,34068.0
2023-06-07 08:00:00,81.94,82.21,81.91,82.13,68824.0
2023-06-07 12:00:00,82.17,82.34,82.08,82.2,32532.0
2023-06-07 16:00:00,82.24,82.4,82.19,82.25,34396.0
2023-06-07 20:00:00,82.24,82.25,82.18,82.2,11793.0
2023-06-08 00:00:00,82.2,82.35,82.18,82.35,4744.0
2023-06-08 04:00:00,82.34,82.49,82.29,82.44,33984.0
2023-06-08 08:00:00,82.45,82.48,82.24,82.35,31833.0
2023-06-08 12:00:00,82.36,82.5,82.32,82.49,39556.0
2023-06-08 16:00:00,82.48,82.57,82.42,82.42,15886.0
2023-06-08 20:00:00,82.39,82.41,82.33,82.4,12825.0
2023-06-09 00:00:00,82.39,82.39,82.18,82.2,7325.0
2023-06-09 04:00:00,82.24,82.84,82.22,82.76,46300.0
2023-06-09 08:00:00,82.75,83.11,82.72,83.09,72816.0
2023-06-09 12:00:00,83.06,83.14,82.79,82.79,50501.0
2023-06-09 16:00:00,82.79,82.95,82.75,82.9,26232.0
2023-06-09 20:00:00,82.9,83.07,82.9,83.07,7220.0
2023-06-10 00:00:00,83.08,83.12,83.01,83.11,6217.0
2023-06-10 04:00:00,83.11,83.87,83.06,83.77,56601.0
2023-06-10 08:00:00,83.75,83.85,83.53,83.62,14143.0
2023-06-10 12:00:00,83.63,83.68,83.44,83.51,9612.0
2023-06-10 16:00:00,83.5,83.85,83.4,83.56,10906.0
2023-06-10 20:00:00,83.47,83.74,83.43,83.59,8516.0
2023-06-11 00:00:00,83.49,83.51,83.36,83.36,4795.0
2023-06-11 04:00:00,83.39,83.69,83.39,83.57,7670.0
2023-06-11 08:00:00,83.58,83.66,83.51,83.54,8039.0
2023-06-11 12:00:00,83.54,83.69,83.47,83.47,6239.0
2023-06-11 16:00:00,83.47,83.57,83.23,83.48,14391.0
2023-06-11 20:00:00,83.49,83.7,83.42,83.66,2304.0
2023-06-12 00:00:00,83.67,83.76,83.62,83.73,1662.0
2023-06-12 04:00:00,83.76,83.77,83.47,83.63,8308.0
2023-06-12 08:00:00,83.58,84.0,83.58,83.66,39929.0
2023-06-12 12:00:00,83.67,83.9,83.67,83.83,72935.0
