datetime,open,high,low,close,volume
2025-04-03 12:00:00,7.63,7.74,7.35,7.49,405211.5
2025-04-03 16:00:00,7.5,7.68,7.44,7.63,253764.5
2025-04-03 20:00:00,7.63,7.71,7.57,7.66,47732.2
2025-04-04 00:00:00,7.68,7.72,7.56,7.69,72230.3
2025-04-04 04:00:00,7.7,7.83,7.64,7.81,156060.8
2025-04-04 08:00:00,7.82,7.89,7.48,7.56,153702.7
2025-04-04 12:00:00,7.57,7.91,7.48,7.73,196633.8
2025-04-04 16:00:00,7.74,7.8,7.57,7.58,220980.4
2025-04-04 20:00:00,7.58,7.7,7.58,7.66,79204.7
2025-04-05 00:00:00,7.65,7.74,7.65,7.66,12470.3
2025-04-05 04:00:00,7.65,7.7,7.56,7.64,89896.7
2025-04-05 08:00:00,7.64,7.74,7.62,7.62,112093.1
2025-04-05 12:00:00,7.62,7.63,7.44,7.49,157579.0
2025-04-05 16:00:00,7.53,7.66,7.52,7.54,55677.1
2025-04-05 20:00:00,7.54,8.3,7.42,7.66,2937105.9
2025-04-06 00:00:00,7.63,7.71,7.49,7.55,77641.6
2025-04-06 04:00:00,7.58,8.15,7.51,7.93,1611843.7
2025-04-06 08:00:00,7.97,8.06,7.66,7.78,692498.7
2025-04-06 12:00:00,7.77,8.03,7.51,7.68,1139616.1
2025-04-06 16:00:00,7.64,7.66,6.96,7.09,946570.3
2025-04-06 20:00:00,7.1,7.18,6.93,7.12,147916.9
2025-04-07 00:00:00,7.12,7.58,7.07,7.12,373263.5
2025-04-07 04:00:00,7.15,7.3,6.89,7.17,227270.5
2025-04-07 08:00:00,7.15,7.52,7.12,7.45,320247.4
2025-04-07 12:00:00,7.47,7.93,7.4,7.7,560397.9
2025-04-07 16:00:00,7.73,8.5,7.49,8.13,8199894.5
2025-04-07 20:00:00,8.13,8.14,7.72,7.89,1558964.2
2025-04-08 00:00:00,7.92,8.06,7.81,7.87,338616.1
2025-04-08 04:00:00,7.88,8.03,7.69,7.87,517519.6
2025-04-08 08:00:00,7.86,7.89,7.74,7.83,215279.7
2025-04-08 12:00:00,7.85,7.85,7.55,7.67,283626.3
2025-04-08 16:00:00,7.68,7.81,7.61,7.62,434818.1
2025-04-08 20:00:00,7.66,7.73,7.6,7.6,177615.8
2025-04-09 00:00:00,7.6,7.6,7.22,7.44,213070.8
2025-04-09 04:00:00,7.48,8.11,7.29,7.81,590179.5
2025-04-09 08:00:00,7.81,7.89,7.71,7.75,254012.5
2025-04-09 12:00:00,7.74,8.08,7.74,7.9,515634.7
2025-04-09 16:00:00,7.9,8.25,7.89,8.05,597181.7
2025-04-09 20:00:00,8.06,8.27,7.96,8.21,266178.4
2025-04-10 00:00:00,8.22,8.26,8.09,8.13,47922.7
2025-04-10 04:00:00,8.14,8.61,8.0,8.17,813500.1
2025-04-10 08:00:00,8.16,8.38,8.16,8.26,324328.5
2025-04-10 12:00:00,8.25,8.44,7.95,8.0,381087.7
2025-04-10 16:00:00,7.98,8.07,7.92,7.98,114422.7
2025-04-10 20:00:00,7.98,8.14,7.97,7.99,136773.3
2025-04-11 00:00:00,7.99,8.17,7.98,8.17,54504.2
2025-04-11 04:00:00,8.17,8.19,8.1,8.17,151872.4
2025-04-11 08:00:00,8.17,8.33,8.14,8.21,91282.6
2025-04-11 12:00:00,8.21,8.34,8.15,8.26,84316.7
2025-04-11 16:00:00,8.28,8.37,8.24,8.29,241541.9
2025-04-11 20:00:00,8.28,8.33,8.17,8.17,134040.0
2025-04-12 00:00:00,8.16,8.18,8.07,8.17,103115.2
2025-04-12 04:00:00,8.18,8.31,8.17,8.17,176271.5
2025-04-12 08:00:00,8.17,8.24,8.1,8.2,271040.5
2025-04-12 12:00:00,8.19,8.55,8.19,8.47,477868.1
2025-04-12 16:00:00,8.46,8.53,8.29,8.34,216838.2
2025-04-12 20:00:00,8.35,8.48,8.34,8.4,152583.9
2025-04-13 00:00:00,8.41,8.44,8.34,8.35,29119.1
2025-04-13 04:00:00,8.35,8.35,8.15,8.28,200683.8
2025-04-13 08:00:00,8.28,8.35,8.21,8.25,65851.4
2025-04-13 12:00:00,8.21,8.28,7.95,8.1,226584.1
2025-04-13 16:00:00,8.09,8.22,7.93,7.97,165029.7
2025-04-13 20:00:00,7.95,8.0,7.7,7.87,238499.3
2025-04-14 00:00:00,7.87,8.15,7.56,7.72,440062.5
2025-04-14 04:00:00,7.72,7.99,7.71,7.95,174911.9
