datetime,open,high,low,close,volume
2022-07-23 12:00:00,63.4,64.0,62.5,63.5,2298874.0
2022-07-23 16:00:00,63.5,63.9,62.2,63.4,937788.0
2022-07-23 20:00:00,63.2,65.0,63.0,64.3,1598368.0
2022-07-24 00:00:00,64.7,66.1,64.0,64.1,2478274.0
2022-07-24 04:00:00,64.2,66.2,64.2,65.6,2002131.0
2022-07-24 08:00:00,65.6,65.9,64.2,65.5,3078527.0
2022-07-24 12:00:00,65.5,66.0,64.6,65.3,1237848.0
2022-07-24 16:00:00,65.3,65.8,64.8,64.9,1646147.0
2022-07-24 20:00:00,64.9,66.6,64.5,64.7,1762672.0
2022-07-25 00:00:00,64.6,65.0,62.0,62.0,7436097.0
2022-07-25 04:00:00,62.0,63.1,62.0,63.0,1594093.0
2022-07-25 08:00:00,63.1,63.6,62.5,63.1,1373425.0
2022-07-25 12:00:00,62.9,63.1,62.1,62.6,1281257.0
2022-07-25 16:00:00,62.7,62.8,61.2,61.3,879610.0
2022-07-25 20:00:00,61.4,62.6,60.5,60.5,1465848.0
2022-07-26 00:00:00,60.6,60.6,59.1,59.8,3672182.0
2022-07-26 04:00:00,59.6,59.8,58.6,59.1,1427409.0
2022-07-26 08:00:00,58.8,59.4,58.6,58.9,1180682.0
2022-07-26 12:00:00,58.9,59.5,57.0,57.4,2861729.0
2022-07-26 16:00:00,57.5,58.1,56.9,57.8,1213421.0
2022-07-26 20:00:00,56.9,60.0,56.9,60.0,916358.0
2022-07-27 00:00:00,60.0,60.2,59.1,59.1,2328390.0
2022-07-27 04:00:00,59.1,61.0,59.1,60.5,1029097.0
2022-07-27 08:00:00,60.2,61.0,59.8,59.8,1340672.0
2022-07-27 12:00:00,59.7,61.3,59.6,60.9,1268866.0
2022-07-27 16:00:00,61.0,64.0,60.1,62.9,3495867.0
2022-07-27 20:00:00,62.6,63.9,62.4,63.7,1353907.0
2022-07-28 00:00:00,63.7,64.7,62.7,63.7,2385651.0
2022-07-28 04:00:00,63.7,65.3,63.0,63.0,1205394.0
2022-07-28 08:00:00,63.0,63.7,62.6,63.3,1599783.0
2022-07-28 12:00:00,63.3,65.5,62.0,64.5,3509074.0
2022-07-28 16:00:00,65.2,66.5,64.8,64.9,3737897.0
2022-07-28 20:00:00,65.6,66.7,64.2,64.7,1847457.0
2022-07-29 00:00:00,64.8,67.4,64.0,66.5,3274493.0
2022-07-29 04:00:00,66.5,68.0,65.7,66.7,5603275.0
2022-07-29 08:00:00,66.5,67.5,63.5,64.7,6006466.0
2022-07-29 12:00:00,64.1,65.9,63.1,65.0,2576425.0
2022-07-29 16:00:00,64.8,65.5,63.4,64.9,1964472.0
2022-07-29 20:00:00,64.9,65.9,64.4,65.0,1412626.0
2022-07-30 00:00:00,65.0,67.4,65.0,65.8,3905577.0
2022-07-30 04:00:00,65.6,67.7,64.8,66.0,7612354.0
2022-07-30 08:00:00,66.1,67.6,65.7,67.0,3058245.0
2022-07-30 12:00:00,66.6,68.4,66.5,68.0,5537744.0
2022-07-30 16:00:00,68.0,68.3,66.1,66.4,1244233.0
2022-07-30 20:00:00,66.0,67.0,65.3,65.6,2066812.0
2022-07-31 00:00:00,65.6,67.1,65.2,66.2,1607917.0
2022-07-31 04:00:00,66.2,67.4,66.0,66.0,2869253.0
2022-07-31 08:00:00,66.2,67.1,65.4,67.0,4104196.0
2022-07-31 12:00:00,67.0,67.5,66.2,66.9,2559047.0
2022-07-31 16:00:00,66.7,68.0,66.0,66.9,1682194.0
2022-07-31 20:00:00,66.9,68.0,64.1,65.5,3836144.0
2022-08-01 00:00:00,65.5,67.0,65.4,66.6,2831730.0
2022-08-01 04:00:00,66.1,67.2,65.7,66.6,1885853.0
2022-08-01 08:00:00,66.6,67.0,64.4,65.8,3127096.0
2022-08-01 12:00:00,65.8,66.8,65.1,66.2,1640248.0
2022-08-01 16:00:00,66.2,66.2,64.9,65.5,1757360.0
2022-08-01 20:00:00,65.6,66.2,65.0,65.9,803199.0
2022-08-02 00:00:00,66.0,66.9,62.4,63.4,3788233.0
2022-08-02 04:00:00,63.1,65.0,62.7,63.8,1702569.0
2022-08-02 08:00:00,63.8,64.3,62.6,63.6,1088799.0
2022-08-02 12:00:00,63.8,65.0,62.5,64.0,2576305.0
2022-08-02 16:00:00,64.0,65.9,63.9,64.6,736169.0
2022-08-02 20:00:00,64.7,65.4,64.6,64.6,1039687.0
2022-08-03 00:00:00,65.0,65.0,63.1,64.3,1468658.0
