datetime,open,high,low,close,volume
2025-04-14 08:00:00,24.06,24.95,23.88,24.87,19909.3
2025-04-14 12:00:00,24.93,25.1,23.87,24.0,46682.9
2025-04-14 16:00:00,23.96,24.7,23.87,24.51,26886.8
2025-04-14 20:00:00,24.54,24.64,24.25,24.48,14249.8
2025-04-15 00:00:00,24.51,24.95,24.32,24.85,11084.0
2025-04-15 04:00:00,24.9,25.04,24.66,24.99,19441.1
2025-04-15 08:00:00,24.95,25.17,24.83,24.99,24168.3
2025-04-15 12:00:00,25.01,25.2,24.53,24.87,19784.4
2025-04-15 16:00:00,24.77,24.82,24.03,24.15,24334.1
2025-04-15 20:00:00,24.13,24.25,23.78,23.95,6103.6
2025-04-16 00:00:00,23.89,24.44,23.75,24.29,10895.9
2025-04-16 04:00:00,24.32,24.38,23.96,23.97,23190.3
2025-04-16 08:00:00,23.94,24.38,23.84,24.06,40856.3
2025-04-16 12:00:00,24.06,24.5,23.75,24.1,13024.9
2025-04-16 16:00:00,24.08,24.46,23.55,24.16,18873.0
2025-04-16 20:00:00,24.19,24.38,23.44,23.46,23979.4
2025-04-17 00:00:00,23.46,23.75,23.22,23.36,18566.0
2025-04-17 04:00:00,23.36,24.01,23.35,23.81,10605.4
2025-04-17 08:00:00,23.82,23.89,23.63,23.77,5349.8
2025-04-17 12:00:00,23.91,23.91,23.24,23.71,11107.7
2025-04-17 16:00:00,23.77,24.29,23.56,23.82,23520.7
2025-04-17 20:00:00,23.9,24.0,23.46,23.58,14658.5
2025-04-18 00:00:00,23.6,23.64,23.37,23.64,11431.3
2025-04-18 04:00:00,23.64,23.98,23.64,23.98,18038.7
2025-04-18 08:00:00,23.98,24.21,23.98,24.06,9724.9
2025-04-18 12:00:00,24.06,24.29,23.76,23.87,22025.6
2025-04-18 16:00:00,23.87,24.01,23.73,23.8,23388.5
2025-04-18 20:00:00,23.82,23.84,23.58,23.68,36112.0
2025-04-19 00:00:00,23.62,24.04,23.6,23.93,6744.4
2025-04-19 04:00:00,23.94,24.31,23.88,24.29,36805.9
2025-04-19 08:00:00,24.24,24.3,23.74,23.82,15021.9
2025-04-19 12:00:00,23.78,24.26,23.73,24.14,27839.4
2025-04-19 16:00:00,24.29,24.74,24.12,24.45,69446.8
2025-04-19 20:00:00,24.53,24.82,24.46,24.57,34393.8
2025-04-20 00:00:00,24.5,24.74,24.44,24.68,9649.1
2025-04-20 04:00:00,24.74,25.28,24.31,24.31,9365.9
2025-04-20 08:00:00,24.31,24.37,23.88,24.13,20236.7
2025-04-20 12:00:00,24.12,24.46,24.06,24.39,42975.8
2025-04-20 16:00:00,24.41,24.76,24.4,24.66,21445.2
2025-04-20 20:00:00,24.77,24.94,24.37,24.74,34604.8
2025-04-21 00:00:00,24.7,25.19,24.7,24.95,5901.3
2025-04-21 04:00:00,24.97,25.45,24.94,25.35,18004.3
2025-04-21 08:00:00,25.41,26.56,25.37,25.63,105519.2
2025-04-21 12:00:00,25.9,26.01,25.59,25.94,33299.9
2025-04-21 16:00:00,25.92,26.03,25.07,25.37,52612.4
2025-04-21 20:00:00,25.41,25.55,25.23,25.45,56783.9
2025-04-22 00:00:00,25.38,25.9,24.83,25.57,4814.6
2025-04-22 04:00:00,25.5,25.65,24.74,25.65,29872.3
2025-04-22 08:00:00,25.69,26.66,25.33,26.59,42844.7
2025-04-22 12:00:00,26.49,27.0,26.4,26.81,35221.8
2025-04-22 16:00:00,26.66,27.21,26.64,27.06,26391.9
2025-04-22 20:00:00,27.06,27.5,27.02,27.28,73756.4
2025-04-23 00:00:00,27.46,27.71,27.2,27.7,24547.0
2025-04-23 04:00:00,27.72,27.92,27.58,27.92,10359.0
2025-04-23 08:00:00,27.88,28.25,27.59,28.12,22437.2
