datetime,open,high,low,close,volume
2025-04-14 08:00:00,132.31,134.17,131.5,133.5,542882.306
2025-04-14 12:00:00,133.5,134.79,128.12,128.8,1180939.397
2025-04-14 16:00:00,128.8,131.99,128.08,131.08,619493.674
2025-04-14 20:00:00,131.09,131.19,128.65,129.42,341652.798
2025-04-15 00:00:00,129.41,130.75,127.71,130.54,517850.864
2025-04-15 04:00:00,130.54,132.3,129.68,131.55,396556.909
2025-04-15 08:00:00,131.55,133.92,131.34,132.15,515048.186
2025-04-15 12:00:00,132.14,134.45,129.07,129.61,930044.329
2025-04-15 16:00:00,129.62,130.6,127.31,127.88,538794.561
2025-04-15 20:00:00,127.89,128.59,125.82,126.11,533187.648
2025-04-16 00:00:00,126.1,127.35,124.8,126.44,533551.256
2025-04-16 04:00:00,126.45,126.68,124.37,124.78,414706.324
2025-04-16 08:00:00,124.78,126.68,123.49,126.27,603391.926
2025-04-16 12:00:00,126.26,129.6,124.46,128.39,1203324.57
2025-04-16 16:00:00,128.4,133.91,124.86,132.45,1847730.44
2025-04-16 20:00:00,132.45,133.71,130.78,131.33,718064.478
2025-04-17 00:00:00,131.33,132.67,129.5,129.79,543337.549
2025-04-17 04:00:00,129.79,135.59,129.62,134.26,769719.73
2025-04-17 08:00:00,134.25,135.0,132.43,133.12,522574.074
2025-04-17 12:00:00,133.12,134.5,130.55,133.45,851429.304
2025-04-17 16:00:00,133.45,136.2,132.0,132.91,803140.577
2025-04-17 20:00:00,132.91,135.29,132.91,134.83,327258.484
2025-04-18 00:00:00,134.84,136.02,133.78,134.51,547917.484
2025-04-18 04:00:00,134.52,135.03,133.26,134.91,402212.327
2025-04-18 08:00:00,134.91,135.54,133.56,134.27,388279.807
2025-04-18 12:00:00,134.27,135.21,132.47,132.91,832148.24
2025-04-18 16:00:00,132.91,134.47,132.69,134.21,221737.273
2025-04-18 20:00:00,134.21,134.4,133.23,134.04,164046.743
2025-04-19 00:00:00,134.05,139.16,133.58,138.82,873032.032
2025-04-19 04:00:00,138.82,139.47,137.78,138.76,378654.863
2025-04-19 08:00:00,138.76,139.96,138.47,138.77,460949.872
2025-04-19 12:00:00,138.77,140.5,138.51,138.95,407392.445
2025-04-19 16:00:00,138.96,139.49,137.67,138.71,509276.06
2025-04-19 20:00:00,138.7,139.9,138.34,139.87,186732.796
2025-04-20 00:00:00,139.86,141.96,139.4,140.96,451629.395
2025-04-20 04:00:00,140.96,141.62,138.6,139.61,419899.112
2025-04-20 08:00:00,139.61,139.8,135.82,136.38,1401727.604
