datetime,open,high,low,close,volume
2025-04-14 08:00:00,2.1277,2.1565,2.1165,2.1561,6157465.0
2025-04-14 12:00:00,2.1561,2.1779,2.1104,2.1157,13378014.0
2025-04-14 16:00:00,2.1159,2.1648,2.1057,2.152,8357014.0
2025-04-14 20:00:00,2.1522,2.1571,2.1225,2.1276,3157722.0
2025-04-15 00:00:00,2.1275,2.156,2.1167,2.153,4057988.0
2025-04-15 04:00:00,2.1529,2.1596,2.1322,2.1514,3422385.0
2025-04-15 08:00:00,2.1513,2.185,2.1456,2.1515,7181147.0
2025-04-15 12:00:00,2.1516,2.1843,2.1271,2.1349,11589028.0
2025-04-15 16:00:00,2.135,2.1429,2.1041,2.1185,6161149.0
2025-04-15 20:00:00,2.1182,2.1269,2.0835,2.084,5325058.0
2025-04-16 00:00:00,2.0841,2.0975,2.0661,2.0826,4607276.0
2025-04-16 04:00:00,2.0826,2.0905,2.0429,2.0505,6296419.0
2025-04-16 08:00:00,2.0507,2.0899,2.0355,2.0892,7332385.0
2025-04-16 12:00:00,2.0891,2.1206,2.0645,2.0937,9108696.0
2025-04-16 16:00:00,2.0941,2.1279,2.0475,2.1068,16422711.0
2025-04-16 20:00:00,2.1066,2.1168,2.0781,2.0835,4141426.0
2025-04-17 00:00:00,2.083,2.0892,2.0625,2.0698,2181263.0
2025-04-17 04:00:00,2.0691,2.1098,2.067,2.0914,4132365.5
2025-04-17 08:00:00,2.0915,2.107,2.0857,2.102,2743182.1
2025-04-17 12:00:00,2.1023,2.1142,2.0571,2.0673,8014210.6
2025-04-17 16:00:00,2.0673,2.1043,2.0527,2.0659,8701045.5
2025-04-17 20:00:00,2.0659,2.081,2.0605,2.0677,2546805.3
2025-04-18 00:00:00,2.0671,2.0691,2.0432,2.0555,2825365.1
2025-04-18 04:00:00,2.0559,2.0716,2.0473,2.0686,2565337.3
2025-04-18 08:00:00,2.0691,2.0811,2.0676,2.0798,2897231.5
2025-04-18 12:00:00,2.0798,2.0854,2.0563,2.0583,5345756.2
2025-04-18 16:00:00,2.0581,2.089,2.0547,2.0802,4435541.5
2025-04-18 20:00:00,2.0802,2.086,2.0552,2.0618,2355849.0
2025-04-19 00:00:00,2.062,2.0864,2.0584,2.0842,2082672.6
2025-04-19 04:00:00,2.0842,2.0944,2.077,2.0885,2079390.3
2025-04-19 08:00:00,2.0886,2.0979,2.08,2.0814,2453171.3
2025-04-19 12:00:00,2.0814,2.0929,2.076,2.0773,2298664.5
2025-04-19 16:00:00,2.0772,2.0946,2.0651,2.0834,3007375.4
2025-04-19 20:00:00,2.0836,2.0914,2.0801,2.0873,1111072.5
2025-04-20 00:00:00,2.0871,2.094,2.0794,2.0832,1404200.8
2025-04-20 04:00:00,2.0832,2.0865,2.0628,2.0697,2512531.6
2025-04-20 08:00:00,2.0696,2.0728,2.039,2.0432,5270269.9
2025-04-20 12:00:00,2.0432,2.0613,2.0411,2.0489,1816011.0
2025-04-20 16:00:00,2.0489,2.0868,2.0457,2.0816,2094731.0
2025-04-20 20:00:00,2.0813,2.0914,2.0602,2.0785,3682648.3
2025-04-21 00:00:00,2.0787,2.125,2.0768,2.1091,6169394.8
2025-04-21 04:00:00,2.1097,2.1401,2.1075,2.1266,4510059.4
2025-04-21 08:00:00,2.1267,2.141,2.1081,2.1182,4488595.8
2025-04-21 12:00:00,2.118,2.1391,2.1052,2.1161,5409142.1
2025-04-21 16:00:00,2.1159,2.118,2.06,2.0881,8022945.0
2025-04-21 20:00:00,2.0881,2.0881,2.0705,2.0857,2516497.4
2025-04-22 00:00:00,2.0857,2.1041,2.0642,2.0833,2844042.3
