datetime,open,high,low,close,volume
2023-03-25 20:00:00,403.0,409.0,403.0,409.0,658407.0
2023-03-26 00:00:00,408.0,412.0,406.0,411.0,398931.0
2023-03-26 04:00:00,411.0,417.0,411.0,415.0,613548.0
2023-03-26 08:00:00,415.0,419.0,415.0,416.0,382708.0
2023-03-26 12:00:00,417.0,423.0,414.0,415.0,1201602.0
2023-03-26 16:00:00,415.0,417.0,412.0,415.0,1073563.0
2023-03-26 20:00:00,416.0,419.0,413.0,418.0,374870.0
2023-03-27 00:00:00,417.0,417.0,409.0,411.0,1239756.0
2023-03-27 04:00:00,411.0,414.0,408.0,409.0,1176049.0
2023-03-27 08:00:00,408.0,413.0,407.0,411.0,619375.0
2023-03-27 12:00:00,410.0,412.0,384.0,391.0,3342004.0
2023-03-27 16:00:00,390.0,395.0,388.0,388.0,619408.0
2023-03-27 20:00:00,388.0,396.0,387.0,396.0,771014.0
2023-03-28 00:00:00,397.0,397.0,390.0,390.0,1329011.0
2023-03-28 04:00:00,391.0,399.0,390.0,395.0,938595.0
2023-03-28 08:00:00,395.0,398.0,389.0,398.0,536751.0
2023-03-28 12:00:00,398.0,401.0,394.0,400.0,1338979.0
2023-03-28 16:00:00,400.0,408.0,396.0,408.0,628738.0
2023-03-28 20:00:00,409.0,417.0,408.0,414.0,1947211.0
2023-03-29 00:00:00,413.0,418.0,412.0,414.0,782715.0
2023-03-29 04:00:00,416.0,426.0,414.0,422.0,2042187.0
2023-03-29 08:00:00,423.0,430.0,421.0,424.0,1498707.0
2023-03-29 12:00:00,426.0,427.0,420.0,425.0,839575.0
2023-03-29 16:00:00,425.0,426.0,419.0,425.0,240208.0
2023-03-29 20:00:00,426.0,427.0,422.0,427.0,384269.0
2023-03-30 00:00:00,428.0,432.0,419.0,426.0,3257571.0
2023-03-30 04:00:00,424.0,426.0,419.0,423.0,1265525.0
2023-03-30 08:00:00,423.0,423.0,413.0,420.0,964839.0
2023-03-30 12:00:00,420.0,428.0,415.0,415.0,516475.0
2023-03-30 16:00:00,416.0,418.0,410.0,417.0,535113.0
2023-03-30 20:00:00,418.0,422.0,416.0,419.0,149906.0
2023-03-31 00:00:00,421.0,424.0,418.0,419.0,380477.0
2023-03-31 04:00:00,418.0,422.0,408.0,413.0,709548.0
2023-03-31 08:00:00,413.0,416.0,409.0,415.0,246736.0
2023-03-31 12:00:00,415.0,434.0,414.0,429.0,1228740.0
2023-03-31 16:00:00,430.0,443.0,430.0,436.0,1938283.0
2023-03-31 20:00:00,435.0,444.0,433.0,438.0,891836.0
2023-04-01 00:00:00,438.0,447.0,436.0,440.0,1585383.0
2023-04-01 04:00:00,441.0,444.0,434.0,435.0,1035263.0
2023-04-01 08:00:00,435.0,463.0,431.0,449.0,3519918.0
2023-04-01 12:00:00,448.0,490.0,445.0,473.0,10576979.0
2023-04-01 16:00:00,473.0,473.0,453.0,463.0,1863663.0
2023-04-01 20:00:00,462.0,471.0,460.0,461.0,1727142.0
2023-04-02 00:00:00,461.0,490.0,461.0,478.0,6493083.0
2023-04-02 04:00:00,477.0,484.0,470.0,482.0,2632166.0
2023-04-02 08:00:00,482.0,486.0,472.0,472.0,3859621.0
2023-04-02 12:00:00,472.0,473.0,451.0,451.0,2671080.0
2023-04-02 16:00:00,450.0,479.0,450.0,468.0,4063723.0
2023-04-02 20:00:00,468.0,468.0,458.0,465.0,600893.0
2023-04-03 00:00:00,465.0,472.0,443.0,453.0,4559511.0
2023-04-03 04:00:00,454.0,456.0,449.0,453.0,1025818.0
2023-04-03 08:00:00,454.0,460.0,452.0,453.0,1586433.0
2023-04-03 12:00:00,453.0,453.0,444.0,450.0,1069911.0
2023-04-03 16:00:00,450.0,455.0,446.0,449.0,799392.0
