param_set,symbol,final_value,total_return(%),max_drawdown(%),sharpe_ratio,trades,params
1,BTCUSDT,10297.029702970298,2.970297029702973,0.0,5.019960159204453,2,"{'buy_threshold': 0.001, 'sell_threshold': 0.0015, 'position_size': 0.001}"
1,ETHUSDT,10000.0,0.0,0.0,0.0,0,"{'buy_threshold': 0.001, 'sell_threshold': 0.0015, 'position_size': 0.001}"
1,BNBUSDT,10000.0,0.0,0.0,0.0,0,"{'buy_threshold': 0.001, 'sell_threshold': 0.0015, 'position_size': 0.001}"
2,BTCUSDT,10297.029702970298,2.970297029702973,0.0,5.019960159204453,2,"{'buy_threshold': 0.0008, 'sell_threshold': 0.0012, 'position_size': 0.002}"
2,ETHUSDT,10000.0,0.0,0.0,0.0,0,"{'buy_threshold': 0.0008, 'sell_threshold': 0.0012, 'position_size': 0.002}"
2,BNBUSDT,10000.0,0.0,0.0,0.0,0,"{'buy_threshold': 0.0008, 'sell_threshold': 0.0012, 'position_size': 0.002}"
3,BTCUSDT,10297.029702970298,2.970297029702973,0.0,5.019960159204453,2,"{'buy_threshold': 0.0012, 'sell_threshold': 0.0018, 'position_size': 0.0015}"
3,ETHUSDT,10000.0,0.0,0.0,0.0,0,"{'buy_threshold': 0.0012, 'sell_threshold': 0.0018, 'position_size': 0.0015}"
3,BNBUSDT,10000.0,0.0,0.0,0.0,0,"{'buy_threshold': 0.0012, 'sell_threshold': 0.0018, 'position_size': 0.0015}"
4,BTCUSDT,10297.029702970298,2.970297029702973,0.0,5.019960159204453,2,"{'buy_threshold': 0.0005, 'sell_threshold': 0.001, 'position_size': 0.001}"
4,ETHUSDT,10000.0,0.0,0.0,0.0,0,"{'buy_threshold': 0.0005, 'sell_threshold': 0.001, 'position_size': 0.001}"
4,BNBUSDT,10000.0,0.0,0.0,0.0,0,"{'buy_threshold': 0.0005, 'sell_threshold': 0.001, 'position_size': 0.001}"
5,BTCUSDT,10297.029702970298,2.970297029702973,0.0,5.019960159204453,2,"{'buy_threshold': 0.001, 'sell_threshold': 0.002, 'position_size': 0.0025}"
5,ETHUSDT,10000.0,0.0,0.0,0.0,0,"{'buy_threshold': 0.001, 'sell_threshold': 0.002, 'position_size': 0.0025}"
5,BNBUSDT,10000.0,0.0,0.0,0.0,0,"{'buy_threshold': 0.001, 'sell_threshold': 0.002, 'position_size': 0.0025}"
