trial_id,number,study_id,state,datetime_start,datetime_complete,pnl,maxdd,sharpe,dca_max_steps,dca_ratio,dca_spacing,rsi_threshold,td_confirm,win_rate
1,0,1,COMPLETE,2025-09-28 04:09:51.809068,2025-09-28 04:09:54.585703,0.9799449205508702,0.29470058528362986,1.0741681360545878,1.0,0.11469388869903036,0.04581443576628644,68.0,1.0,0.0
2,1,1,COMPLETE,2025-09-28 04:09:54.597493,2025-09-28 04:09:57.227250,-0.1544911200519087,0.3832069594473744,0.9699408611600759,1.0,0.4949261176012806,0.04997356838955463,43.0,0.0,0.0
3,2,1,COMPLETE,2025-09-28 04:09:57.237798,2025-09-28 04:09:59.991819,-0.1943033736390728,0.7265469150921959,1.1182175622487833,4.0,0.3178644315890833,0.044081784787079546,52.0,0.0,0.0
4,3,1,COMPLETE,2025-09-28 04:10:00.003049,2025-09-28 04:10:02.732607,0.5984046155891528,0.5102167510335457,0.9207598855166943,3.0,0.44205716992840993,0.020468974473075482,72.0,0.0,0.0
5,4,1,COMPLETE,2025-09-28 04:10:02.744657,2025-09-28 04:10:05.393422,0.11134429218512713,0.6406344376877602,1.1953496838083255,3.0,0.10490276894784781,0.04749753049974486,78.0,1.0,0.0
6,5,1,COMPLETE,2025-09-28 04:10:05.404453,2025-09-28 04:10:08.129104,0.17429014926313274,0.47806886802500764,1.1227481785469524,4.0,0.3745960854717425,0.026289777191691975,55.0,0.0,0.0
7,6,1,COMPLETE,2025-09-28 04:10:08.141464,2025-09-28 04:10:10.915522,-0.16869009481608926,0.662302388838144,0.7594309810697253,1.0,0.25545756482551396,0.023196029083651995,50.0,1.0,0.0
8,7,1,COMPLETE,2025-09-28 04:10:10.926881,2025-09-28 04:10:13.850600,-0.27273392797471724,0.4896073841362016,0.6955444462394794,1.0,0.44399653527630545,0.04455253541615064,75.0,0.0,0.0
9,8,1,COMPLETE,2025-09-28 04:10:13.862677,2025-09-28 04:10:16.687357,-0.26246070800087035,0.48641903863055225,0.9254293300430667,3.0,0.4371647135278621,0.016319117679670696,66.0,0.0,0.0
10,9,1,COMPLETE,2025-09-28 04:10:16.699636,2025-09-28 04:10:19.430831,-0.01749356175373523,0.5106369201949078,1.083890854882857,1.0,0.3868770319063647,0.011756501865251083,80.0,0.0,0.0
11,10,1,COMPLETE,2025-09-28 04:10:19.441681,2025-09-28 04:10:22.112713,0.5105056958312592,0.345868530377494,1.0242545543878627,3.0,0.40966358945020553,0.038020471526772445,34.0,1.0,0.0
12,11,1,COMPLETE,2025-09-28 04:10:22.123333,2025-09-28 04:10:24.839400,-0.5555058154196144,0.40068168598189574,0.7708069312177133,2.0,0.3353424900600187,0.023610448237078606,55.0,0.0,0.0
13,12,1,COMPLETE,2025-09-28 04:10:24.850162,2025-09-28 04:10:27.678164,0.11368251085234096,0.37837931752328086,1.1962173552666804,4.0,0.352032934531469,0.011139736090854085,52.0,0.0,0.0
14,13,1,COMPLETE,2025-09-28 04:10:27.689231,2025-09-28 04:10:30.384643,-0.7742657907162565,0.3869342318837634,0.5299580989140319,2.0,0.2218781030363407,0.03853859444804587,29.0,1.0,0.0
15,14,1,COMPLETE,2025-09-28 04:10:30.397518,2025-09-28 04:10:33.159514,-0.3233407291631719,0.5019255777752262,1.150642527517526,5.0,0.16467734108860155,0.017085528089987822,46.0,1.0,0.0
16,15,1,COMPLETE,2025-09-28 04:10:33.173827,2025-09-28 04:10:35.862637,-0.6015792336221238,0.5596973387504771,1.2331538928598884,1.0,0.35842110455117826,0.033941361808811826,52.0,0.0,0.0
17,16,1,COMPLETE,2025-09-28 04:10:35.872045,2025-09-28 04:10:38.573042,-0.7133984961760924,0.5241289143419184,1.3912998342323089,2.0,0.4819303440783006,0.04800864306192427,54.0,0.0,0.0
18,17,1,COMPLETE,2025-09-28 04:10:38.582302,2025-09-28 04:10:41.296061,-0.14558790800167098,0.5755435963327071,0.9904078027231435,3.0,0.3091964490022313,0.027850635275978586,27.0,0.0,0.0
19,18,1,COMPLETE,2025-09-28 04:10:41.306503,2025-09-28 04:10:44.039371,-0.07308740935111283,0.44587266041924173,1.1199462765978558,1.0,0.2554453718196177,0.02221995201173322,24.0,0.0,0.0
20,19,1,COMPLETE,2025-09-28 04:10:44.052165,2025-09-28 04:10:46.736426,0.4520744076155232,0.3791520246144026,1.0602161917591322,2.0,0.24989550834929225,0.022897375028704117,53.0,1.0,0.0
